1/rank_diff,1/rank_points_diff,1/age_diff,1/ht_diff,1/aces_last_diff,1/aces_per_avg_diff,1/aces_per_min_diff,1/aces_per_max_diff,1/df_last_diff,1/df_per_avg_diff,1/df_per_min_diff,1/df_per_max_diff,1/perc_1st_in_last_diff,1/perc_1st_in_avg_diff,1/perc_1st_in_min_diff,1/perc_1st_in_max_diff,1/perc_w_1st_last_diff,1/perc_w_1st_avg_diff,1/perc_w_1st_min_diff,1/perc_w_1st_max_diff,1/perc_w_2nd_last_diff,1/perc_w_2nd_avg_diff,1/perc_w_2nd_min_diff,1/perc_w_2nd_max_diff,res
-0.0556,0.0021,0.5,-0.125,-0.3333,-1.0,-0.3333,0.2,0.3333,1.0,1.0,0.5,0.5,0.3333,0,0.3333,0.0909,0.1429,0.1667,0.0909,-0.125,-0.1429,-0.1,-0.25,1
0.0213,-0.0008,0.25,0.1,0.1667,0.25,0.3333,0.3333,0.2,0.3333,0.25,-1.0,-0.1111,-0.3333,-1.0,-0.25,-0.25,0.1667,0.0909,1.0,-0.0833,-0.0909,0.3333,-0.04,-1
1.0,-0.0125,-0.5,-0.2,-0.0833,-0.1429,-0.1667,-0.2,-0.5,0,0,0,-1.0,0.25,0.1667,0.1429,0.5,-0.2,-0.125,-0.125,0.5,-0.1429,-0.0833,-0.25,1
0.0196,-0.0005,-0.1,-0.0049,-0.1111,-0.1429,-0.125,-0.1111,-0.5,0,0,0,-0.0909,0,0.1429,-0.125,0.0476,1.0,-0.1111,0.0833,0.0357,0.1429,-0.25,0.0526,-1
0.25,-0.0006,0.1111,0,0.2,0.3333,1.0,0.1667,0,0,0,1.0,0.0588,0.2,0.5,0.0769,-1.0,-0.5,-0.1,-1.0,-0.0625,-0.1429,-0.3333,-0.1429,1
-0.3333,0.0009,-0.2,-0.0769,-0.2,-0.25,-0.3333,-0.2,-0.3333,0,0,-0.5,0.0476,-0.3333,-0.1667,-1.0,0.1667,-0.5,-0.0909,0.1667,0.1111,0.2,-0.2,0.25,-1
-0.0256,0.0004,0.1667,0.0054,-0.3333,-0.2,-0.3333,-0.2,-0.125,-0.2,-0.3333,-0.125,0.3333,1.0,0.3333,1.0,0.1667,-0.1111,-0.0556,-0.5,0.25,0,-0.0556,0.1667,1
-0.0588,0.0018,-0.1111,-0.0556,-1.0,-1.0,0,-1.0,1.0,-1.0,-0.5,-1.0,-0.5,-1.0,-0.5,0.125,0.125,1.0,0.1667,0.5,0.0476,0.0833,0.25,0.0208,1
-0.0323,0.0008,0.5,0.0054,0.5,0.3333,0.1667,0.25,0.5,0.3333,0.3333,0.3333,-0.1,-0.1,-0.5,-0.0526,-0.3333,-0.3333,-1.0,-0.3333,-0.0714,-0.1,-0.0714,-0.0833,-1
0.0333,-0.0008,-0.0909,-0.0051,0.0909,0.2,0,0.25,0.3333,1.0,0,0.5,-0.125,0,-0.25,1.0,0.2,1.0,-0.5,0.5,-0.0909,1.0,-0.1667,0.1429,1
0.0056,-0.0005,0,-0.0054,-0.1429,-0.1111,-0.1111,-0.1429,-0.5,-0.3333,-0.25,-0.25,1.0,0.2,0.2,0.2,0.1667,-1.0,1.0,-1.0,-0.25,0.1429,0.0417,-0.25,-1
0.0833,-0.0014,-0.1429,-0.0417,-0.25,-0.5,-0.3333,-0.25,0.3333,0.3333,1.0,0.2,0.2,1.0,-0.1429,0.1429,-0.1429,-0.0714,-0.0455,-0.0833,1.0,-0.5,0,-0.1,-1
0.037,-0.0048,-0.125,-0.0054,-0.3333,0.5,-0.3333,0.1429,-1.0,-1.0,0,-0.3333,0.037,0.1111,0.0769,0,0.1111,-0.25,-0.25,-0.1667,-0.0588,-0.0909,-0.1429,-0.0556,1
-0.0769,0.0065,0,0.3333,0.5,0.25,-0.5,0.0909,0.25,1.0,0.5,-0.3333,0.1429,0,0.1429,-0.0769,-0.1111,0,0.2,-0.25,-0.0714,-0.125,-1.0,-0.0556,-1
0.0222,-0.0024,0.5,0,0.2,0.5,0.5,0.25,-0.3333,-0.2,-0.1667,-0.2,0,0.2,0.5,0.0909,-0.05,-0.1429,-0.0833,-0.25,0.25,-0.25,-0.1111,0,1
-0.04,0.0036,1.0,0.3333,-1.0,0.1429,0.5,0.0667,1.0,1.0,0.5,1.0,-0.5,-0.1429,-0.5,-0.05,0.0769,0.1429,0.1,0.2,-1.0,0.1667,0.0303,-0.0909,1
0.0588,-0.0018,0.1111,0.0556,-0.2,0.5,1.0,1.0,-1.0,1.0,0,1.0,-1.0,-1.0,-1.0,-0.125,0.5,0.3333,0.3333,-0.5,1.0,-0.5,1.0,-0.0417,-1
-0.0141,0.0008,0.3333,0.0059,-1.0,-0.3333,-0.25,-0.3333,-1.0,-1.0,-1.0,-1.0,-0.0714,0.2,0.2,0.125,0.5,-0.2,-0.0833,0.3333,-0.0455,-0.1429,-0.0667,0.0303,1
-0.0526,0.0017,-0.25,-0.1,-0.3333,-0.3333,-0.3333,-0.3333,0,0.5,0.5,0.25,0,0,0.2,-0.3333,-0.0556,-0.1111,-0.25,-0.0714,0.0333,0.1429,0.125,-0.1429,-1
-0.0625,0.0018,-0.1667,-0.0435,-0.1429,-0.5,0,-0.1429,-0.1429,-1.0,0,-0.2,-1.0,-0.1111,-1.0,-0.1429,-1.0,0.1667,0.0909,0.1111,-0.0769,0,-0.125,0.0313,1
-0.0455,0.0013,0.5,-0.3333,-0.125,-0.1429,-0.5,-0.0667,0.25,0.25,0.5,0.1429,0.5,0.1429,0.0417,-0.5,0.1,-0.1,-0.5,-0.0526,0.05,-0.3333,-1.0,-0.05,1
-0.0294,0.0003,-0.1,-0.3333,-0.1667,-0.3333,-0.3333,-0.3333,-0.3333,-0.5,0,-0.3333,-0.1429,0.5,-1.0,0.125,-0.125,1.0,-1.0,0.2,0.05,0.1,0.0625,-1.0,-1
0.025,-0.001,0.5,0.05,0.25,1.0,1.0,0.5,0.3333,1.0,1.0,1.0,-0.0769,-0.25,-0.5,-0.0909,-0.1429,-1.0,0.5,-0.2,-0.0161,-0.2,-0.3333,-0.0345,-1
-0.3333,0.0002,0.1,-0.3333,0.3333,-0.5,0,-0.5,-0.5,-0.3333,-0.5,-0.5,-0.25,-0.3333,-0.3333,-1.0,0.125,0.2,0.1667,0.1111,0.1667,0.0476,0.1,0.0294,1
0.0127,-0.0001,-0.3333,0.2,0.1111,0,-0.3333,0.25,0,1.0,0,1.0,0.0625,0.3333,1.0,0.1667,1.0,-0.0909,-0.2,-0.0625,-0.0278,-0.0333,-0.0385,-0.0294,-1
-0.5,0.001,-1.0,0.04,0.3333,0.25,0.25,0.25,0.5,1.0,0.5,1.0,0.3333,1.0,0.1,-0.2,-0.1,0.2,0.0909,-0.1,-0.0455,-0.1,0.0769,-0.0435,1
-0.2,0.0074,0.2,0.0058,-0.5,-0.3333,-0.25,-0.2,-0.3333,-0.3333,-0.5,-0.1429,0.0667,0.1429,0,0.0714,-0.1111,-0.0556,-0.0625,-0.0714,-0.5,-0.2,-0.1111,-0.5,-1
-0.0526,0.0011,0.3333,0.0054,0.1667,0,-1.0,1.0,-0.1,-0.25,-0.5,-0.1429,0.2,-0.3333,-0.1,0.2,0.1429,0.3333,0.3333,0.0833,0.0385,0.1667,-0.2,0.0833,-1
1.0,-0.0077,-1.0,-0.2,-0.5,-0.2,-0.2,-0.5,0.5,0,0,1.0,-0.1429,1.0,-0.5,0.5,-0.5,0.5,-0.5,0.25,1.0,1.0,1.0,-0.5,-1
-0.0222,0.0003,-0.25,0.25,-0.0833,-0.125,-0.5,-0.0667,0.5,0,1.0,1.0,-0.125,0.1111,0.1667,0.1111,0.05,-1.0,0.2,-0.3333,0.3333,0.1111,0.2,0.0476,1
-0.0526,0.0047,1.0,-0.1111,0.5,0.125,0.25,0.0625,0,-0.5,-1.0,-0.5,-0.3333,-0.3333,-0.2,-0.3333,0.2,0.0909,0.0909,0.125,-0.0385,-0.125,-0.2,-0.0588,1
0.0625,-0.0012,0.125,0,0.2,1.0,-1.0,0.25,-0.5,-1.0,-1.0,-0.5,0.0909,0.1429,0.125,0.125,0.1667,-0.1667,-0.1111,-0.1,0.125,0.1429,0.125,0.5,-1
0.0116,-0.0007,-0.1667,-0.0053,-1.0,-1.0,-1.0,-1.0,0.3333,0.3333,0,0.1667,0.3333,-1.0,-0.2,1.0,-0.1,-0.25,-0.1429,-0.5,-0.0526,-0.1429,-0.5,-0.0714,1
-0.0278,0.0068,1.0,0.0052,1.0,0.3333,0.3333,0.5,0.5,1.0,1.0,1.0,-0.1111,0.1429,0.125,0.1429,0.0769,0.25,-0.3333,0.1,0.3333,0.25,-0.25,0.04,-1
0.0106,-0.0032,-0.5,-0.0052,-0.1111,-0.125,-0.1667,-0.1111,-0.5,1.0,0,0.3333,-0.2,-0.2,-0.2,-0.1667,-0.1,-0.0833,-0.1429,-0.0556,1.0,-0.1,-0.3333,-0.037,-1
-0.25,0.0002,0.1429,-0.0769,-0.5,-0.1667,-0.2,-0.3333,0,-1.0,1.0,-0.3333,-0.0769,-0.25,-0.0769,0.25,0.3333,0,0,1.0,0.0667,0.3333,0.2,-0.0667,1
0.0233,-0.0004,-0.1667,-0.0051,-0.1429,-0.25,-0.1429,0.2,-0.25,0,1.0,-0.3333,-0.3333,-0.5,1.0,0,-0.5,-0.3333,-0.1429,1.0,0.1667,-0.3333,0.1667,-0.0357,-1
-0.0179,0.0001,0.0667,0.0054,0.125,0.125,0.2,0.5,0.5,0,0,1.0,-0.0769,-0.2,-0.5,-0.2,0.0769,0.1,0.0323,-1.0,-0.1111,0.1667,1.0,0.0909,1
-0.2,0.0001,0.5,-0.0769,-0.0769,-0.0667,-0.0714,-0.0769,0,-1.0,0,0,0.1667,0.2,0.25,0.1667,-0.0588,-0.0833,-0.0714,-0.0769,0.1,0,0.1,-0.0435,-1
0.0217,-0.0003,-0.3333,-0.0053,0.1111,0.2,0.5,0.1111,-0.25,-0.1429,-0.25,-0.1,-0.125,-1.0,0.1667,-0.3333,-1.0,0,-0.1667,0.1429,0.0556,0.0588,0.0455,0.25,1
0.0256,-0.0036,0.2,0,0.0526,0.125,0.1667,0.2,0.5,-1.0,-1.0,0,0.125,0.3333,-0.2,1.0,0.1111,0.25,0.0476,-0.3333,0.125,0.2,0,0.0714,-1
-0.0556,0.0001,0.25,-0.0909,-0.25,0,1.0,-0.3333,1.0,-0.5,0,-0.5,0.0833,0.1667,0.1,0.1429,0.1429,0.5,1.0,0,0.0556,0.0714,0,0.0556,1
0.04,-0.0001,-0.1667,-0.0667,0.1111,0.2,0,0.1,0.25,0.3333,0,0.1667,-0.1667,-0.0625,-0.0588,-0.0667,0.2,-0.5,-0.25,0.1,-0.1,-0.0909,-0.0769,-0.1429,-1
-0.2,0.0008,0.3333,0.1,0.5,0.1111,0.0909,0.1667,-0.5,-1.0,0,-1.0,-0.1667,-1.0,0,-0.1667,0.2,0.1,0.1667,0.0667,0.25,0.0769,0.0714,0.0476,1
0.0714,-0.0004,-0.25,0.2,0.0667,0.0909,0.1111,0.0667,-0.0833,-0.1429,-0.25,-0.0833,0.3333,0.125,0.1,0.2,0.3333,-1.0,-1.0,-0.5,0.037,0.0588,0.0455,0.1667,-1
-0.037,0.0033,-0.1,-0.0053,-0.3333,0.5,0.1429,-0.3333,-0.2,-0.5,-1.0,-0.5,0.25,0.1111,0.1111,0.1,-0.0667,1.0,0,0.125,-0.125,0.3333,0.2,-0.125,1
-0.0109,0.0003,-0.5,0.0054,-0.25,0.2,0.5,0.125,0.5,0.2,0.5,0.1429,-0.0588,-0.1,0.3333,-0.0667,-0.1111,0,0.25,0.5,0.5,-0.1111,-0.3333,-0.0556,-1
0.0227,-0.0007,-0.1111,-0.0053,0.3333,0.5,0,0.1,0,-0.3333,0,-0.1429,0.0833,0.2,0.5,0.0909,-0.3333,-0.25,-0.0385,0.25,-0.5,-0.5,-0.25,-0.1429,1
0.2,-0.003,-0.5,-0.0556,-0.0588,-0.1667,-0.5,-0.25,1.0,1.0,1.0,0.25,0.2,0,-0.1667,0.5,-0.1667,-0.1,-0.1111,-0.1,0.1667,0.1,0.25,0.0556,-1
-0.0128,0.0001,0.0909,0.0054,0,0.3333,0.1667,0.3333,1.0,-0.3333,1.0,-0.25,-0.25,0.1667,0.1667,0.3333,0.5,0.5,1.0,1.0,-0.0714,0.2,-0.5,0.1,1
-0.0909,0.0026,-0.25,-0.1,-0.0769,-0.1667,-0.125,-0.2,-0.25,-0.3333,-0.25,-0.5,-0.1,-1.0,0,0,0.0909,-0.3333,-0.0833,0.0909,-0.3333,0.2,0.5,0.1,1
-0.0109,0.0011,-0.3333,-0.0909,-0.1429,-0.25,-0.25,-0.3333,0.3333,0.5,0.5,0.3333,-0.2,-1.0,0.2,-0.25,0.2,0,-0.1429,1.0,0.1429,-0.0909,-0.05,-0.0833,1
-0.027,0.0012,0.2,0.0055,-0.0714,-0.25,-0.3333,-0.1429,0,1.0,-1.0,0.5,-0.0833,-0.1429,-0.125,-1.0,0.0909,0.2,1.0,0.1667,-0.3333,0.0909,0.0714,0.1429,1
-0.2,0.037,0,0,0.125,0.3333,0.3333,-0.25,0.2,1.0,0,0.25,0.1111,-0.125,-0.0769,-0.1429,-1.0,0.0714,0.037,0.0909,-0.0714,0.2,1.0,0.125,-1
-0.027,0.0006,0.125,0.0051,-0.1429,-0.3333,-0.25,-0.1429,-1.0,-1.0,-1.0,-1.0,0.25,0.5,-0.0909,0.1667,0.1667,-0.25,-0.125,0.3333,-0.0625,0.3333,-0.0909,0.0476,1
-0.1111,0.0014,0,0.0667,-0.1667,0.25,1.0,0.25,1.0,0,-1.0,-0.5,-0.0357,-0.2,-0.0909,-0.2,-0.25,0,0,-0.5,0.1667,0.0909,0.1111,0.1,-1
-0.0455,0.0014,-1.0,-0.1429,-0.5,-0.125,-0.25,-0.0769,-0.5,0,0,0,0.0333,0.1111,0.1,0.0769,0.0833,0.5,0.1429,-1.0,0.0455,0.1429,-0.5,0.0455,1
-0.0455,0.0029,0.5,0.2,0,0.1429,0.1429,0.1429,-1.0,1.0,1.0,1.0,0.25,0.2,0.1111,0.3333,-0.1,-0.25,0.5,-0.1111,-0.5,-0.125,0.25,-0.0333,1
0.0233,-0.001,-0.2,-0.0055,0.1667,0.1429,0.25,0.0833,0.3333,0.3333,0.5,0.2,0.1111,0.5,0.1667,-0.5,0.0667,0.3333,-0.5,0.1429,-0.2,-1.0,-0.5,-0.25,-1
-0.012,0.0031,0.3333,0,0.1429,0.5,0.5,1.0,0.5,0,1.0,0,-0.125,-0.3333,-0.3333,0,1.0,0.125,0.3333,0.2,0.5,0,-0.2,-1.0,1
0.008,-0.0012,-0.1,-0.0051,-0.0833,-0.2,-0.3333,-0.125,0,-0.5,-0.5,-0.5,1.0,0.125,0.1,0.3333,-0.0769,-0.2,-0.5,-0.5,-0.3333,0.125,0.0833,-0.5,1
-0.0076,0.001,0.0556,0.0053,0.0909,0.1111,0.1429,0.0714,0.5,1.0,0.3333,-1.0,0.125,0.5,0.3333,0.1667,0.0588,0.25,0.1667,0.5,-0.0714,-0.1667,1.0,-0.0588,-1
-0.1429,0.0047,-0.0909,-0.0052,-0.1667,-0.25,-1.0,-0.2,0.1429,0.3333,1.0,0.2,-0.125,-0.1429,-0.1667,-0.125,0,0.2,-0.2,0.05,-0.125,-0.1111,-0.0769,-0.0714,-1
0.0244,-0.0003,0.1429,0.125,1.0,-0.3333,-0.25,-0.2,0,0.5,1.0,0.5,0.125,0.3333,-1.0,0.125,-1.0,-0.2,-1.0,-0.0833,-0.1,-0.3333,-0.25,0.2,1
0.04,-0.0022,0.1429,0.0054,0.2,0.3333,0,0.25,-0.1429,-0.1667,-0.25,-0.1429,0.0385,0.0625,0.0909,0.05,-0.1111,-0.0833,0.5,-0.0435,0.0588,0.04,0.0286,0.0476,-1
0.0133,-0.0005,0.5,-0.05,-0.0385,-0.0556,-0.1,-0.0455,0,-1.0,1.0,-0.25,-0.25,-0.125,-0.0909,-0.25,-0.0714,-0.0769,-0.0588,1.0,-0.05,-0.1667,0.1667,-0.0909,1
0.0385,-0.001,0.3333,-0.1,-0.2,-0.3333,-0.25,0,0.3333,0,0,0,-0.1111,-0.1667,-0.1667,-0.1111,-0.0833,-0.125,-0.0833,-0.1111,0.3333,0.1667,0.0909,0.2,-1
0.0062,-0.0013,-0.1429,-0.0055,-0.2,-0.1429,-0.25,-0.1,-1.0,-0.5,-0.5,-0.5,-0.1667,-0.5,-0.1667,0.5,-1.0,-1.0,-0.1111,0.1429,0.05,0.125,0.2,0.0769,-1
-0.5,0.0015,0,0.04,-0.25,0,0,-0.5,0.25,0,0,0,0.2,-0.3333,-0.3333,-1.0,-0.2,0.0833,0.2,0.0455,-0.1667,0.0714,0.0323,-1.0,1
0.3333,-0.0011,-1.0,-0.3333,0.125,0.2,0.3333,0.1667,0.25,0.5,1.0,1.0,0.2,0.1429,0.2,0.0909,-0.0385,-0.0769,-0.1429,-0.05,0.5,-0.125,-0.04,0.5,-1
0.0182,-0.0008,0,0,0.1667,-1.0,-1.0,-0.5,1.0,-0.3333,0,-0.1667,1.0,0,0.3333,0,0.3333,0.5,0.25,0.5,-0.125,0.1111,0.1429,0,-1
0.0159,-0.0005,-0.1429,-0.0476,-0.1429,-0.0588,-0.0769,-0.0476,-0.3333,-0.3333,-0.3333,-0.2,0,-0.1429,-0.1,-0.1,-0.0909,-0.3333,-0.1667,-0.1667,-0.0476,0.1111,0.0455,0,1
0.0164,-0.0008,0.1,0,0.5,1.0,1.0,0,-0.2,-1.0,1.0,-1.0,-0.125,-0.3333,0.25,-0.25,-0.3333,0.125,0.1429,0.0714,0.1667,-0.25,-0.125,-0.5,-1
0.3333,-0.0143,-0.3333,-0.125,-0.05,-0.0556,-0.0588,-0.0588,-0.3333,-0.3333,-0.25,-0.25,-0.0455,-0.1111,-0.0667,-0.1111,-0.1429,0.5,-0.1,0.0667,0.125,0.1667,0.1,1.0,-1
0.0128,-0.0003,0.1667,-0.0769,0.1429,-1.0,-0.5,1.0,-1.0,0,0.3333,1.0,0.1667,0.25,0.0588,-0.1667,0.0833,0.25,0.0833,-1.0,-0.1,-0.125,0.5,-0.0357,1
0.0588,-0.0013,0.125,0.3333,-0.3333,-0.5,1.0,-0.3333,-0.25,-1.0,-0.5,0,0.0769,0.125,0.0833,0.0769,1.0,0.25,0.1667,0.25,0.05,0.25,0.125,1.0,-1
-0.0385,0.0007,-1.0,0.125,0.1667,0.3333,0.3333,0.25,-0.3333,-1.0,0,-0.5,-0.1429,0.1667,0.3333,0.3333,0.1,-0.25,-0.0714,1.0,-0.0833,-0.1,-0.0556,-0.0833,1
0.0137,-0.0004,0.1111,0.0455,-1.0,0.3333,0.5,0.1667,0.25,0.3333,0.3333,0.25,0.1429,0.2,0.1429,-1.0,-1.0,0.0909,0.0476,0.0714,-0.0455,-0.1111,-0.1429,-0.125,1
0.0556,-0.0004,0,-0.0667,-0.1,-0.1429,-0.1667,-0.1,-0.3333,-0.5,1.0,-0.3333,-0.1,-0.1667,1.0,-0.0769,-0.0625,-0.25,0.25,-0.25,0.0278,0.1111,0.0769,-0.0909,-1
-0.25,0.0034,-0.5,0,0,1.0,0,0,-0.1667,-0.5,-1.0,-0.5,-0.2,-0.1667,-0.1,0.3333,0.0667,0.1,0.1111,0.0667,0.027,0.1111,-0.2,0.0385,-1
0.0263,-0.0003,0.1,-0.125,-0.1667,-0.3333,-0.25,-0.5,-0.1429,-0.25,-0.3333,-0.25,-0.125,-0.25,-0.3333,-0.125,0.0909,0.0667,0.0625,0.0667,0.0238,0.0625,0.025,-1.0,1
-0.0556,0.0008,-0.3333,-0.05,0.3333,0,1.0,0,1.0,-0.5,-1.0,-0.1667,0.5,0.5,0.5,0.25,-0.0833,0.3333,-0.1667,-0.5,-0.0435,-0.1111,-0.0667,-0.25,1
-0.0147,0.0005,-0.3333,0.3333,-0.25,0.5,-0.25,0.1429,-0.5,-0.5,-0.5,0,0,-0.2,-0.1667,0,-0.0476,-0.5,-0.1,1.0,-0.0526,0,1.0,-0.1667,-1
0.0213,-0.0003,-0.1111,-0.0051,0.25,-0.3333,-0.25,-1.0,-0.3333,-1.0,1.0,0,0.0357,0.125,0.0526,0,0.05,-1.0,0.1111,-0.125,0.0833,-0.25,0.25,-0.0357,-1
-0.037,0.0011,0.3333,0.0054,-0.25,1.0,0.5,0,-0.5,1.0,1.0,0.5,0.0833,0.1429,0.5,0.1111,-0.0476,-0.1,-0.2,-0.05,0.1667,-1.0,0.25,-0.5,1
-0.0588,0.0002,0.1429,-0.0769,-0.3333,-1.0,-1.0,0,1.0,1.0,1.0,1.0,-0.1,-0.0909,-0.1111,-0.1,0.0625,0.125,0.1667,0.0909,0.0714,0.25,0.0667,-0.5,1
0.125,-0.0002,-0.1,-0.0455,-0.1,-0.3333,0,-0.25,0,1.0,-1.0,0.3333,0.25,0.5,-0.5,0.2,-0.1111,-0.1111,-1.0,-0.05,0.1111,-1.0,-0.25,0.3333,-1
0.0667,-0.0004,0,0,-0.3333,-0.5,-0.25,1.0,-0.2,-0.3333,0,-0.2,0.1111,0.25,0.2,0,-0.0909,-0.2,-0.0909,-0.3333,0.0769,-0.2,-0.25,-0.0526,1
-0.0769,0.0011,1.0,-0.0455,1.0,-0.5,0,-0.5,0,-0.5,-0.5,-0.3333,-1.0,0.3333,0.1667,-1.0,0.5,1.0,-1.0,-0.5,0.2,-0.3333,0.3333,-0.125,1
0.0213,-0.0005,-0.2,-0.0061,-0.5,-0.25,-0.5,-0.1429,0.2,1.0,0.5,0,0.5,0.1111,0.25,0.0667,-0.25,-0.125,-0.1111,-0.125,0.1111,-0.125,-0.04,-1.0,-1
-0.0135,0.0006,-0.1667,0.0769,1.0,0,-0.5,1.0,-0.3333,-0.5,-0.5,-0.3333,0.5,0.1,0.0625,0.0909,0.3333,0.5,0.3333,0.1429,-0.0588,0.1667,0.2,0.25,1
-0.0145,0.001,0,0.0055,1.0,0.5,1.0,0.5,0.1667,0.5,1.0,0.3333,0.25,-0.25,-0.5,-0.25,0.0714,0.1429,0.1111,0.1,-0.1,-0.125,-0.1,-0.0909,1
-0.0238,0.0007,1.0,0.0769,0.2,0.3333,0,0.2,-0.2,-0.3333,-0.5,-0.2,0.0588,0.125,0.1,0.125,0,-1.0,-0.25,0.5,0.5,0.3333,0,0.2,1
-0.1,0.0014,0.1111,0.3333,0.1667,1.0,0.5,0.1667,0,-1.0,0,0.5,0.25,0.5,0.5,-0.2,0.0909,0,-0.2,0.3333,-0.05,-0.5,0,0.3333,-1
-0.0526,0.0008,-0.5,0.1,0.1667,0.2,0.2,0.1,-1.0,1.0,-1.0,0.2,-0.1667,-0.1429,-0.0833,-0.1667,0.5,0.5,-0.2,0.0833,-0.0833,0.5,0.5,0.1667,1
0.0263,-0.001,-1.0,-0.0054,-0.3333,-0.3333,-0.5,-0.3333,0,-0.5,0,-0.5,-0.0769,0,0.125,-0.0769,0.0556,-1.0,-0.25,0.3333,-0.0909,0.1667,0.1429,0,-1
-0.125,0.0024,-0.1111,-0.125,0.25,-1.0,-1.0,-1.0,-1.0,0,-0.5,1.0,-0.0385,-0.1111,-0.0667,-0.3333,-0.037,-0.1,-0.05,0,0.0625,0.1429,0.1667,0.0909,-1
0.0625,-0.0009,-0.1429,-0.0625,-0.1429,-0.2,-0.1667,-0.0909,-0.3333,-1.0,-1.0,-0.3333,1.0,0.125,0.0769,0.0625,-0.1111,-0.125,-0.125,-0.0476,-1.0,-1.0,-0.1667,0.1111,-1
-0.0076,0.0011,-0.5,-0.3333,-1.0,0,1.0,0,0.2,1.0,0,1.0,0.125,0.1429,0.125,0.0667,-0.0625,-0.1667,0,-0.0625,-0.1667,-0.3333,-0.2,0.1,1
1.0,-0.04,0.2,0.125,0.5,1.0,0.5,0.25,-1.0,0.5,-1.0,0.3333,0.5,-1.0,1.0,-0.25,0.125,0.1667,0.125,0.1,-0.0714,-1.0,-0.0833,0.3333,-1
0.0909,-0.0007,0.3333,0.1,-0.3333,-0.5,-1.0,-0.5,0,-1.0,-1.0,-1.0,-0.2,1.0,-1.0,0,1.0,-0.3333,-0.2,-1.0,-0.25,1.0,0.5,-0.3333,1
0.0526,-0.0005,0.25,-0.1,0.25,-0.2,-1.0,-0.1429,0.1667,1.0,0.5,0.5,-0.0769,-0.1429,-0.1,-0.25,-0.0455,-0.1111,-0.1667,-0.1111,-0.1111,-0.5,-0.2,-0.2,-1
-0.0417,0.0009,-0.25,0.1,0.1429,0.2,1.0,0.125,-1.0,0,0,1.0,-0.5,-0.5,0.5,-0.2,-0.25,0,-0.25,-0.1429,0.3333,-0.2,-0.0625,-0.2,1
0.0455,-0.0005,0.25,0.5,-0.25,-0.1111,-0.1429,-0.0909,0,0,0,0,0.2,-1.0,-0.5,-0.2,-0.0588,-0.0625,-0.0625,-0.0588,-0.037,-0.5,1.0,-0.125,-1
0.0556,-0.001,0,-0.04,-1.0,-0.2,-1.0,-0.125,0,0,0,-0.5,-0.25,-0.125,-0.3333,-0.0769,-0.0417,-0.0667,-0.25,-0.0526,-0.125,-0.25,0.1429,-0.125,-1
0.037,-0.0007,0.5,-0.0667,-0.0667,-0.0769,-0.1,-0.0667,-1.0,1.0,0,0.5,-0.125,0.3333,-0.5,0.125,-0.0714,-0.125,-0.1,1.0,-1.0,-0.1429,-1.0,-0.1429,1
-0.0385,0.0011,0.5,0.0051,-0.3333,1.0,-1.0,-1.0,-0.3333,-1.0,-1.0,-1.0,-0.5,0.2,0.5,0.1429,-0.0833,0.3333,1.0,0.1429,-0.0769,0,-0.3333,1.0,1
0.1111,-0.0018,-0.1429,-0.0556,-0.3333,-0.1429,-0.25,-0.0833,1.0,-1.0,0,-0.25,0.3333,0.3333,0.2,0.3333,0,-0.125,-0.1667,-0.0556,-0.2,0,0.25,0.1429,-1
-0.0104,0.0008,0.1667,0.0059,-0.1111,-0.1429,-0.25,-0.0909,0,1.0,1.0,0.5,-0.5,-0.25,-0.5,-0.5,-0.0909,-0.0667,-0.0556,-0.0625,0.0385,0,0.0556,0.3333,1
-0.0076,0.0011,-0.5,-0.3333,0.3333,0,0.5,0,-0.25,1.0,-1.0,0.2,0.0526,0.2,0.3333,0.0667,0,-0.25,0.2,-0.0625,0.0313,-0.1429,-0.0909,0.1,1
0.0058,-0.0011,1.0,-0.0058,-1.0,0.5,1.0,0.3333,-1.0,-0.5,0,-0.1429,-0.0909,-0.1429,-0.2,-0.25,0.3333,0.1111,0.1111,0.0909,0.2,0.0667,0.0476,0.125,-1
0.0071,-0.0008,-0.5,-0.125,-0.1667,-0.3333,-1.0,-0.2,1.0,-1.0,0,-0.3333,1.0,0,-1.0,1.0,0.3333,0.5,0.2,1.0,0.0667,0.0556,0.0476,0.0667,1
-1.0,0.0004,-0.2,0,-0.3333,-0.2,-0.25,-0.1429,0.5,1.0,0,0.2,1.0,-0.2,-0.1429,-0.5,-0.1,-0.3333,-0.1429,-0.5,0.2,0.2,-0.5,0.0833,-1
-0.25,0.0002,0.5,-0.0769,-0.25,-0.1667,-0.2,-0.1429,0.5,0,0,0.3333,0.0909,0.1111,0.5,0.0667,-0.0833,-0.1,-1.0,-0.0909,0.04,0.0909,0.0588,0.0455,1
0.0476,-0.0002,-0.1429,0.0769,0.3333,-1.0,-0.5,0,-1.0,0,0,0.5,-0.1429,-0.125,-0.0909,-0.2,1.0,0.2,-1.0,0.0909,0.1667,-0.0833,-0.1,-0.0435,-1
-0.125,0.0002,0.2,-0.3333,-0.3333,-0.1429,-0.3333,-0.1111,-0.3333,-0.25,-0.3333,-0.5,0.0667,0.1667,-1.0,0.0769,-0.0909,-0.5,1.0,-0.25,0.0526,0.0476,0.1,0.0222,1
